event_id,title,category,venue_name,neighborhood
df699610-4e77-1cd8-bcc9-d37dc59bcb33,"Summer on the Hudson: Silent Disco","Waterfront","Riverside Park South",""
3cbca495-ac93-f11a-a78f-720794af29b7,"Philip Wailes Ensemble","Free Summer Concerts","",""
ce493a09-de96-e81d-0c8f-d1bad76a9c4b,"Books & Blankets ","Others","Idlewild Environmental Center",""
7cc03fa6-ef47-95b3-103b-7b9a5e877c1a,"Stargazing on the High Line","Astronomy","The High Line",""
4a641acd-3948-b9dc-28ba-0800ddfdea5d,"Reel Talks at Bryant Park: Conversation on Eric Rohmer","Accessible Activities","Bryant Park",""
a89838bf-dfd1-4063-304c-0b3e84aa5190,"Sunset Wednesdays 2026","Accessible Activities","Wave Hill",""
ecae58ac-469e-e067-6f79-0220fa00a0e8,"Broadway in Bryant Park","Theater","",""
1f025e92-8039-2d72-9af4-89f218eaf3d9,"EAVESDROPPING: The Erotics of Listening","Film & cinema","The Lighthouse—Think Olio",""
f80f7103-8412-3c80-9873-c36a089297a0,"Sunset Volunteer Series","Volunteer","Prospect Park",""
06fec95f-4717-99f2-fdd7-e907724ec2fe,"Reel Talks","Hiking & parks","Bryant Park","Midtown"
63b4439c-c00f-4e85-f940-4a0b5d25340d,"Sunset Wednesdays: Stella Cole","Accessible Activities","Wave Hill",""
b99ce3aa-3fc8-0782-e184-2891c5b552aa,"Summer on the Hudson: Yoga- Evening Salute to the Sun","Yoga & Pilates Classes","Riverside Park South",""
dc957c37-f21c-a287-1855-c7318197934c,"Sunset Yoga - July 28","Running & fitness","Pier 3 Central Lawn, Brooklyn Bridge Park","Brooklyn Bridge Park"
59ce3aaf-9fc1-633e-303a-c4e3ade889fd,"Summer on the Hudson: Mycelium - A Solar-Powered Concert","Waterfront","Riverside Park South",""
b199f9fe-95a1-a543-8fa0-a0faf4e2c961,"$49 Seinfeld Night: Baseball Tix, Drinks,Eats","Food & dining","Maimonides Park",""
5cb79e2c-5c15-753c-3cc1-171c516ab936,"2026 USA Track &amp; Field Outdoor &amp; Para National Championships","Hiking & parks","Icahn Stadium",""
af8c9f26-4cbc-2414-34e8-765d1a7a801c,"Full Moon Yoga Club","Gardening","",""
51c38721-7479-929f-a758-1c432d7ad4b8,"RTA Summer Sunset Concert Series featuring The Brooklyners","Waterfront","Riverside Park",""
519f9004-b3d2-0f4e-c2ec-64f381d5b78a,"Community Paddle at Starlight Park","Kayaking and Canoeing","Starlight Park",""
8c9277b5-7020-06da-214d-6f00256874f0,"Soundbath at the Bowl","Film & cinema","Brooklyn Bowl",""
8dc921ed-2d27-1268-31c8-8cfc66352dac,"Disability Pride Night","Theater","Poster House",""
05e515da-18d3-9144-3a92-40e1a6d918f2,"Summer Streets 2026 ","Others","",""
13956ee6-5f17-5b4e-d3e6-7fdb142c5b9f,"THE D WORD (Drag!)","Film & cinema","Henrietta Hudson 438 Hudson St, New York, NY 10014",""
628af73c-84e0-21f6-2a2b-1700a86dff8c,"Summer Concert Series - Queensboro Dance Festival","Free Summer Concerts","Forest Park",""
7589ecaf-80f5-9d44-af7a-6156cd81a0c4,"What Wondrous Love Is This: Preview Screening","Film & cinema","Poster House",""
85bb3b5b-9a95-8b73-6f88-5390118240b7,"Moves with Limón Dance","Nightlife","Bryant Park","Midtown"
3dde2e19-b29d-233f-3dbb-1f9c26e68eb8,"It's My Park at Brower Park","It's My Park","Brower Park",""
